File Name,Frame,Timestamp,Focus,Cognitive Demand,Engagement,Memory
Hugo_Sanchez,156,00:00:06.458,54.2,31.0,48.1,31.4
Hugo_Sanchez,157,00:00:06.500,57.7,31.0,53.8,31.9
Hugo_Sanchez,158,00:00:06.541,61.2,31.0,58.8,32.3
Hugo_Sanchez,159,00:00:06.583,64.2,31.0,62.8,32.7
Hugo_Sanchez,160,00:00:06.625,66.5,31.0,65.8,33.0
Hugo_Sanchez,161,00:00:06.666,68.5,31.0,67.9,33.1
Hugo_Sanchez,162,00:00:06.708,70.0,31.0,69.3,33.2
Hugo_Sanchez,163,00:00:06.750,70.9,31.0,70.0,33.3
Hugo_Sanchez,164,00:00:06.791,71.3,31.0,70.5,33.4
Hugo_Sanchez,165,00:00:06.833,71.7,31.0,70.7,33.4
Hugo_Sanchez,166,00:00:06.875,71.8,31.0,70.8,33.4
Hugo_Sanchez,167,00:00:06.916,68.9,31.1,70.9,33.4
Hugo_Sanchez,168,00:00:06.958,64.2,31.1,70.9,33.4
Hugo_Sanchez,169,00:00:07.000,63.8,31.1,70.9,33.4
Hugo_Sanchez,170,00:00:07.041,65.8,31.1,70.9,33.4
Hugo_Sanchez,171,00:00:07.083,67.5,31.1,71.0,33.4
Hugo_Sanchez,172,00:00:07.125,69.3,31.1,71.0,33.4
Hugo_Sanchez,173,00:00:07.166,70.8,31.1,71.0,33.4
Hugo_Sanchez,174,00:00:07.208,71.7,31.1,71.0,33.4
Hugo_Sanchez,175,00:00:07.250,72.1,31.1,71.0,33.4
Hugo_Sanchez,176,00:00:07.291,72.1,31.1,71.0,33.4
Hugo_Sanchez,177,00:00:07.333,71.8,31.1,71.0,33.4
Hugo_Sanchez,178,00:00:07.375,71.5,31.1,71.0,33.4
Hugo_Sanchez,179,00:00:07.416,71.3,31.1,71.0,33.4
Hugo_Sanchez,180,00:00:07.458,71.2,31.1,71.1,33.4
Hugo_Sanchez,181,00:00:07.500,71.1,31.1,71.1,33.4
Hugo_Sanchez,182,00:00:07.541,71.1,31.1,71.1,33.4
Hugo_Sanchez,183,00:00:07.583,71.2,31.1,71.1,33.4
Hugo_Sanchez,184,00:00:07.625,71.2,31.1,71.1,33.4
Hugo_Sanchez,185,00:00:07.666,71.3,31.1,71.1,33.5
Hugo_Sanchez,186,00:00:07.708,71.5,31.1,71.1,33.5
Hugo_Sanchez,187,00:00:07.750,71.5,31.1,71.1,33.5
Hugo_Sanchez,188,00:00:07.791,71.5,31.1,71.1,33.5
Hugo_Sanchez,189,00:00:07.833,71.7,31.1,71.0,33.5
Hugo_Sanchez,190,00:00:07.875,71.8,31.1,71.0,33.5
Hugo_Sanchez,191,00:00:07.916,68.8,31.1,71.0,33.5
Hugo_Sanchez,192,00:00:07.958,64.1,31.1,71.0,33.5
Hugo_Sanchez,193,00:00:08.000,63.7,31.1,71.0,33.5
Hugo_Sanchez,194,00:00:08.041,65.7,31.1,70.9,33.5
Hugo_Sanchez,195,00:00:08.083,67.4,31.1,70.6,33.6
Hugo_Sanchez,196,00:00:08.125,69.3,31.1,70.1,33.7
Hugo_Sanchez,197,00:00:08.166,70.9,31.1,69.2,33.9
Hugo_Sanchez,198,00:00:08.208,71.9,31.1,67.7,34.2
Hugo_Sanchez,199,00:00:08.250,72.3,31.1,65.4,34.7
Hugo_Sanchez,200,00:00:08.291,72.3,31.1,62.4,35.4
Hugo_Sanchez,201,00:00:08.333,71.6,31.1,58.5,36.2
Hugo_Sanchez,202,00:00:08.375,69.9,31.1,54.0,37.1
Hugo_Sanchez,203,00:00:08.416,67.3,31.1,49.1,38.0
Hugo_Sanchez,204,00:00:08.458,64.5,29.7,44.1,39.0
Hugo_Sanchez,205,00:00:08.500,61.6,29.4,39.4,39.9
Hugo_Sanchez,206,00:00:08.541,58.8,29.3,35.2,40.6
Hugo_Sanchez,207,00:00:08.583,57.2,29.4,31.9,41.3
Hugo_Sanchez,208,00:00:08.625,57.5,29.1,29.3,42.0
Hugo_Sanchez,209,00:00:08.666,60.8,29.3,27.5,42.6
Hugo_Sanchez,210,00:00:08.708,63.7,29.9,26.5,43.3
Hugo_Sanchez,211,00:00:08.750,66.8,30.2,25.9,44.1
